Question,Image,A,B,C,D,Answer
"Which country does this flag belong to?","https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg","China","Japan","South Korea","Vietnam","B"
"Which country does this flag belong to?","https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg","Argentina","Portugal","Brazil","Colombia","C"
"Which country does this flag belong to?","https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg","USA","Canada","United Kingdom","Australia","B"
"Which country does this flag belong to?","https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg","Kenya","Nigeria","South Africa","Egypt","C"
"Which country does this flag belong to?","https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg","Italy","Netherlands","France","Russia","C"
"Identify this large mammal.","https://upload.wikimedia.org/wikipedia/commons/3/37/African_Bush_Elephant.jpg","Hippopotamus","African Elephant","Rhinoceros","Mammoth","B"
"What is the name of the largest mammal on Earth shown here?","https://upload.wikimedia.org/wikipedia/commons/1/1c/Blue_Whale_ID_181.jpg","Humpback Whale","Orca","Blue Whale","Great White Shark","C"
"Which mammal is known for hopping and is native to Australia?","https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_kangaroo_jumping.jpg","Wallaby","Red Kangaroo","Koala","Wombat","B"
"Identify this mammal known for eating bamboo.","https://upload.wikimedia.org/wikipedia/commons/0/0f/Grosser_Panda.JPG","Koala","Black Bear","Giant Panda","Red Panda","C"
"This unique egg-laying mammal is a...","https://upload.wikimedia.org/wikipedia/commons/4/4b/Platypus.jpg","Echidna","Beaver","Platypus","Otter","C"
"Which company uses this logo?","https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg","Microsoft","Apple","Android","IBM","B"
"Identify the brand associated with this 'Swoosh' logo.","https://upload.wikimedia.org/wikipedia/commons/a/a6/Logo_NIKE.svg","Adidas","Puma","Nike","Reebok","C"
"Which coffee chain uses this siren logo?","https://upload.wikimedia.org/wikipedia/en/d/d3/Starbucks_Corporation_Logo_2011.svg","Dunkin'","Costa Coffee","Starbucks","Peet's Coffee","C"
"Identify this fast-food giant's logo.","https://upload.wikimedia.org/wikipedia/commons/3/36/McDonald%27s_Golden_Arches.svg","Burger King","Wendy's","McDonald's","Subway","C"
"Which e-commerce company uses this logo?","https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg","eBay","Walmart","Amazon","Alibaba","C"
"What is the Spanish word for this animal?","https://upload.wikimedia.org/wikipedia/commons/d/d9/Golden_Retriever_Dukstein.jpg","Gato","Perro","Caballo","Pájaro","B"
"What is the Spanish word for this animal?","https://upload.wikimedia.org/wikipedia/commons/4/4d/Cat_November_2010-1a.jpg","Perro","Gato","Ratón","Conejo","B"
"What is the Spanish word for this fruit?","https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg","Naranja","Plátano","Manzana","Uva","C"
"What is the Spanish word for this object?","https://upload.wikimedia.org/wikipedia/commons/d/d5/Opened_book_with_blank_pages.jpg","Mesa","Silla","Libro","Lápiz","C"
"What is the Spanish word for the object shown?","https://upload.wikimedia.org/wikipedia/commons/b/b4/The_Sun_by_the_Atmospheric_Imaging_Assembly_of_NASA%27s_Solar_Dynamics_Observatory_-_20100819.jpg","Luna","Sol","Estrella","Nube","B"
